category,L,a,b
red,46.05261072200522,67.87625768164368,32.08732405996319
red,44.29569022531679,56.07397856179253,19.833263004115985
red,28.83663636018334,48.03597283255215,16.669126179691006
red,18.09791100444602,38.010290095606244,6.1367232099817315
red,45.318571379043256,43.412275609586715,14.661092641410821
red,27.363064833107607,36.28098342841887,9.340516157210377
red,15.091284600969956,28.09617248563298,-0.2003673106887094
red,60.98951383267557,17.551679304577405,3.870798272634124
red,46.16030081264438,24.772645362818146,7.398068379261813
red,26.778788872910866,13.033468833264866,1.1180829470316511
red,15.159106720661068,9.796147985913745,-0.529567565231448
red,49.92551722201371,73.76351914702533,-8.795163944638107
red,44.46637695470999,56.40229345115505,-4.8472353733099105
red,30.06466813090158,52.1327080307272,-8.246094346736632
red,17.187675344860708,38.3272072620989,-11.862311235824441
red,45.57007327778331,43.75050673858682,-4.061647889364162
red,27.90883240815112,34.58075766385246,-6.037376296047947
red,15.0842611860576,26.463834128699627,-8.274008336569027
red,60.92323639033876,19.644100815671916,-4.2435804944492395
red,45.89227350722111,26.266000256559618,-3.3395384016862817
orange,52.251325965274404,64.34867629880553,56.453786311770116
orange,55.28703680221656,47.38803875839953,43.440653882622705
orange,40.49261062962055,49.00561742555981,43.83900587952404
orange,55.781166890940995,37.54019310697304,30.945690559808824
orange,40.45086924683342,39.33440068202024,33.105824613817944
orange,56.06657575319403,24.885820975929228,19.992125238480174
orange,63.966995285545906,44.727724654144154,69.89487134584704
orange,64.43874375751406,34.57858487232601,62.01192909040009
orange,51.70365681944739,34.992460368041435,56.24320594926602
orange,77.74806980874209,22.78659797947874,34.16720549375283
orange,66.02477347987043,26.02037734231161,38.68810631023598
orange,50.931141140885074,26.25954328426,41.06397169073244
orange,81.11026628133041,12.957136335823904,62.56849222626117
orange,72.31491603876148,20.137437256419478,70.72993913550545
orange,61.851212577478094,21.116052605060776,64.83387530516548
orange,82.2378377465425,12.690902582514429,43.005939166531924
orange,73.16783651425585,15.897750831972424,46.995387578414835
orange,60.73786566990766,16.239068968548043,49.2975683406476
orange,82.55104097976053,9.62937857541074,21.359178855535554
yellow,81.11026628133041,12.957136335823904,62.56849222626117
yellow,72.31491603876148,20.137437256419478,70.72993913550545
yellow,61.851212577478094,21.116052605060776,64.83387530516548
yellow,82.2378377465425,12.690902582514429,43.005939166531924
yellow,73.16783651425585,15.897750831972424,46.995387578414835
yellow,60.73786566990766,16.239068968548043,49.2975683406476
yellow,82.55104097976053,9.62937857541074,21.359178855535554
yellow,79.62544025958448,4.5925689394330504,78.98358980574703
yellow,84.22520821891463,1.3473586969344753,65.57814833555635
yellow,73.0444061979436,3.7586717951381687,66.12095064244463
yellow,61.56382857817863,5.105733722683359,62.28755471914887
yellow,85.5015032566265,1.9265395777148808,42.92583529529408
yellow,73.06589475052878,3.3597765782509836,43.3651242177782
yellow,61.0192609872238,3.50860803745795,44.742786932431365
yellow,87.07913886993704,2.738755114474023,21.315702731918982
yellow,73.27816704927199,2.56191671721695,22.508340650892954
yellow,61.08234296700317,3.3250207201854787,25.805450529230576
yellow,86.74485628202682,-13.009098782867435,82.14490108166973
yellow,86.58727507959235,-11.277392769947381,65.62736102541993
yellow,73.65241224672366,-10.886396911321594,68.40313480159324
yellow,61.81149446079539,-9.828105675563526,62.46224956025662
yellow,87.42344800196136,-7.4326623146970805,42.171407819924454
yellow,72.93383188753934,-7.757486588732543,45.29528006622612
yellow,60.86201569337746,-8.128841182968694,46.918603661475814
yellow,87.46119501450244,-4.137331716987324,25.366746135341465
yellow,73.32554818385924,-4.414858504617703,26.1780726859
yellow,81.58815967316741,-40.16441040530005,74.77113616493679
yellow,84.68813867370979,-26.525617959504476,54.016704486606585
yellow,62.00624932940016,-27.448669791134417,54.46756198119872
yellow,41.42876477620083,-27.376581597637202,43.48916449741607
yellow,85.14325910315216,-14.21013916848457,28.12496572268739
yellow,61.15615674934186,-15.365601531591,29.21887301295221
yellow,85.45270219892694,-3.782624474269136,10.867205195352359
yellow,62.830541761722,-4.925063353747539,10.669736912014983
green,81.58815967316741,-40.16441040530005,74.77113616493679
green,84.68813867370979,-26.525617959504476,54.016704486606585
green,62.00624932940016,-27.448669791134417,54.46756198119872
green,41.42876477620083,-27.376581597637202,43.48916449741607
green,85.14325910315216,-14.21013916848457,28.12496572268739
green,61.15615674934186,-15.365601531591,29.21887301295221
green,85.45270219892694,-3.782624474269136,10.867205195352359
green,62.830541761722,-4.925063353747539,10.669736912014983
green,31.90996249479852,-28.071496818199538,36.839050332197395
green,36.01138455403891,-16.848320506440473,29.975285188733046
green,19.170480719992774,-16.2794409831212,22.249820415140086
green,36.90090278739911,-5.6089686106127745,9.774506175247987
green,20.48670739335666,-4.597159545265433,7.690151775057652
green,76.08447477740594,-67.12346698212995,60.113065272964526
green,79.94310447817794,-40.99510804673262,31.7425179836645
green,55.25278560527276,-44.146550477481725,31.951973187602988
green,38.86959593482472,-40.323651223184015,34.41013916429989
green,23.49201291873902,-30.943093449789878,27.87277188219608
green,90.05530763607237,-20.558606023946936,15.642089344719423
green,75.98034660688177,-22.073917087720496,16.591359078451816
green,55.877426924605004,-22.675337004655628,16.220858914598658
green,35.47508686364131,-24.46238745620638,15.357675367842639
green,19.320239502230784,-20.992855532157016,13.695074765150489
green,82.86810318748698,-61.39148940921463,20.832407999700674
green,75.55641756868062,-47.1271567682085,11.747132112224579
green,51.029649062686474,-39.52739389459644,10.758393377239429
green,85.38343165703989,-23.95934229647817,5.598460655734883
green,65.78984336425648,-24.95405303344761,5.616780153710832
green,45.329113661569586,-27.010703568344425,5.108735472421211
green,29.30080653998842,-22.84806387480698,4.814091287952726
green,16.30236568615703,-15.315769914095348,2.8423554781035865
green,85.31271124539307,-6.584192962891255,-0.589647003413285
green,66.68166754428975,-6.898384136059866,-0.5928400757643448
green,46.28087892583945,-6.621319515241309,-0.34965658315002646
green,28.949534782603706,-5.830878710665289,-1.264350890645638
green,16.076169359291008,-4.71770361746543,-1.5616803521241285
green,89.1851156872776,-57.764500170212955,4.8438990994395414
green,78.35049942300309,-41.91684608879076,-7.287779682909257
green,53.319992763856675,-34.63622070641226,-2.1209921441177837
green,84.94766658402254,-22.738851906006218,-6.73644303156089
green,65.35504894422942,-23.49255007105816,-7.344145859534579
green,46.73649237488846,-23.49295117707595,-7.725763092613325
green,28.712829729977216,-16.460604727605936,-6.3454738221136004
green,16.197348503115116,-11.810353028167352,-4.317570864719911
blue,70.87864153342362,-23.812733178592225,-29.405908325737705
blue,51.84456503733247,-14.126902292101285,-30.380743032120172
blue,82.17285420873426,-14.655765011378442,-18.859195057772006
blue,65.5221067727739,-13.947030499638636,-20.42511622114105
blue,46.300876492390984,-13.984254100083248,-21.42938207974987
blue,29.10757587296812,-9.257921876866499,-17.969787956338145
blue,16.444812352043925,-5.891015813265926,-13.01796873120118
blue,42.447347758962984,27.223016335244765,-68.38235450583343
blue,62.801015821652825,-1.0631966941123117,-48.001346190061334
blue,45.39873398805276,7.821165492475468,-48.63128467073534
blue,21.920838649362885,16.61385547219996,-42.22895211468207
blue,78.46014654304322,-2.3898242715248985,-29.82416870226523
blue,66.0285707401006,-1.230800777570762,-33.43205883677012
blue,42.91061146463666,0.5865214609966363,-34.39336461622211
blue,21.428048875757646,3.1577632648232266,-25.460784186703613
blue,83.76617125465269,-0.08328422074038722,-14.592893641755866
blue,66.09548328199554,-0.44516134061567403,-14.864612409124046
blue,43.237361400881795,-1.4983467679079432,-15.207740357855881
blue,26.107329407495975,-1.0501335757562291,-10.796808005229197
blue,14.517448974167614,0.5186809520560942,-8.873560406283588
blue,34.94190151785989,51.86709368648679,-77.17186975641974
blue,59.60489814708876,19.873118930494037,-46.76556598114718
blue,41.71861412838771,24.251576274393088,-49.757012042813656
blue,20.662743335931232,23.944297548701783,-41.00072120151097
blue,78.77698088523427,8.933662335788629,-28.637435966004745
blue,61.55049052145287,10.710848899230797,-30.815348057311898
blue,35.54821443260156,15.079837185498906,-32.0635474526092
blue,15.232737614759436,12.08563044609659,-23.831296757233243
blue,81.80228880382448,6.489890687099598,-19.659823034145752
blue,61.41783424819447,6.656707472280532,-19.732364945927785
blue,33.80773663020667,7.8618076003130195,-21.194423486946732
violet,39.52034558887997,61.69850508651192,-70.61338568228457
violet,58.993700914478296,29.774798898120626,-44.25409505729236
violet,35.44357578430902,34.67643541293042,-44.9022449821753
violet,18.071224262798182,35.990549145869,-40.585443631237915
violet,78.64342246529502,17.57560501026734,-28.723845691778127
violet,61.644433799731274,18.702487713633865,-29.995125816299193
violet,35.46649082762193,22.03625233505202,-30.875216097243985
violet,18.31641529764211,17.10499275183053,-22.22876669203138
violet,81.85438398328046,11.339861037524933,-18.966332506222415
violet,61.785671533723715,11.237406449521703,-17.95384538060778
violet,35.47550190296019,12.465362837627087,-19.127845926738495
purple,49.08883028524298,71.8907151328273,-55.829026437764796
purple,67.59493543362743,39.76137183294626,-34.300850824385584
purple,45.72381795770047,41.486453836809325,-35.34929503958961
purple,27.416358877685553,42.99864369989068,-34.85520960682379
purple,16.38133553595786,38.223871377443736,-30.599619724319304
purple,80.55165898383834,25.51469298170189,-22.92032965304569
purple,66.45813988840327,25.62707804677894,-23.451329178582014
purple,46.121734358841124,27.122701903605552,-24.161709300235444
purple,28.361087855050187,22.36897653972622,-20.04550184167003
purple,15.370512439293563,21.4061313937787,-18.60461426225196
purple,84.25536497498804,13.0511216250902,-13.094175826371135
purple,65.17834679126108,13.310300632223104,-11.545892518859135
purple,45.93452174296813,13.003760976018519,-10.207258015923415
purple,29.15513939957072,11.456773931392217,-7.8604018976507595
purple,15.330061478274892,9.549403031214487,-7.472585667483256
purple,50.79138898647112,76.20555400211681,-36.67706100112746
purple,45.79873630853995,48.17547702326996,-23.13288046733717
purple,28.464006063041076,47.81686436540805,-24.690070928401873
purple,17.237676280218736,38.39200017242078,-21.61820446828343
purple,61.058431305331666,30.76743541216087,-14.757300817384866
purple,45.9641459708438,32.821224343600186,-15.87698750484079
purple,28.36384587392866,25.206693320385053,-13.457222929410728
purple,15.677532414836612,24.777196247833977,-14.526817243039714
purple,61.214351866774166,18.495280467573927,-9.567444748544496
purple,46.05682600899882,19.45846767805198,-9.906998741551698
white,89.72994429016923,7.522293058463303,-1.678841370393247
white,89.86649260478413,4.277235222510001,4.285127430173619
white,89.81149187988112,-0.12782957703538766,-1.6965353166508823
white,89.95607844808293,2.9584050607410206,-7.76888928516033
white,90.1694568676175,6.915236192220786,-6.3189884569532895
white,90.19384464902662,3.453712825705779,-3.1714414353838816
