category,L,a,b
red,46.05261072200522,67.87625768164368,32.08732405996319
red,44.29569022531679,56.07397856179253,19.833263004115985
red,28.83663636018334,48.03597283255215,16.669126179691006
red,18.09791100444602,38.010290095606244,6.1367232099817315
red,45.318571379043256,43.412275609586715,14.661092641410821
red,27.363064833107607,36.28098342841887,9.340516157210377
red,15.091284600969956,28.09617248563298,-0.2003673106887094
red,44.46637695470999,56.40229345115505,-4.8472353733099105
red,30.06466813090158,52.1327080307272,-8.246094346736632
red,45.57007327778331,43.75050673858682,-4.061647889364162
red,27.90883240815112,34.58075766385246,-6.037376296047947
red,18.757547334046098,38.19180398684231,7.751512269280717
red,30.597250100522984,37.838063872932516,1.4712362738826983
red,52.29879008549241,43.77001761195899,15.41939979187654
red,47.991599527646294,27.93297277560348,7.736101263883337
red,49.27063707875567,51.22482621815083,-2.418711559679399
red,27.708310200283556,24.27847454190603,-3.8967997458061276
red,33.941391558831945,45.83823500439421,9.844746247455866
red,36.689167626227395,28.040686013603015,5.293396152434552
red,48.07359529118192,44.14358528776134,18.55920056520779
red,27.726533033490007,47.11208453743666,-5.804319054565526
red,43.93860748480751,46.62179509497042,7.314191412558825
red,43.97796491311179,27.75283518638967,4.302521017288063
red,30.00154066968672,25.642860410084968,1.9936607797891426
red,32.26442794754818,50.27201812186232,1.7165017587982891
orange,52.251325965274404,64.34867629880553,56.453786311770116
orange,55.28703680221656,47.38803875839953,43.440653882622705
orange,40.49261062962055,49.00561742555981,43.83900587952404
orange,55.781166890940995,37.54019310697304,30.945690559808824
orange,63.966995285545906,44.727724654144154,69.89487134584704
orange,64.43874375751406,34.57858487232601,62.01192909040009
orange,51.70365681944739,34.992460368041435,56.24320594926602
orange,66.02477347987043,26.02037734231161,38.68810631023598
orange,50.931141140885074,26.25954328426,41.06397169073244
orange,61.851212577478094,21.116052605060776,64.83387530516548
orange,60.73786566990766,16.239068968548043,49.2975683406476
orange,49.3105808679331,34.19216235388882,38.57227327013895
orange,63.84854351432117,20.900498767376323,53.8774265760044
orange,55.340400791988216,38.60671754534163,55.13826776391991
orange,54.15413374101845,36.36987523749793,53.571529318635484
orange,73.41177250271791,21.892514570003733,50.05877600279487
orange,58.48039468567947,27.654016048664136,40.13941143198681
orange,57.4370453491884,40.74932315654689,49.42296539730836
orange,68.84445269466545,28.45376735384461,33.64283750650598
orange,70.00743584559139,28.228392606284828,60.08352155293501
orange,69.29986177391005,39.266465568448126,54.507804365220785
orange,62.429931265430355,29.579190956079753,55.18672966786174
orange,42.212529435814915,46.98125039444089,38.14624975159891
orange,63.55193066563902,44.92311738183822,49.90997473785663
orange,76.50409454514497,20.778628628374427,50.17417357178348
yellow,82.2378377465425,12.690902582514429,43.005939166531924
yellow,84.22520821891463,1.3473586969344753,65.57814833555635
yellow,73.0444061979436,3.7586717951381687,66.12095064244463
yellow,85.5015032566265,1.9265395777148808,42.92583529529408
yellow,73.06589475052878,3.3597765782509836,43.3651242177782
yellow,61.0192609872238,3.50860803745795,44.742786932431365
yellow,73.27816704927199,2.56191671721695,22.508340650892954
yellow,86.74485628202682,-13.009098782867435,82.14490108166973
yellow,86.58727507959235,-11.277392769947381,65.62736102541993
yellow,73.65241224672366,-10.886396911321594,68.40313480159324
yellow,61.81149446079539,-9.828105675563526,62.46224956025662
yellow,87.42344800196136,-7.4326623146970805,42.171407819924454
yellow,72.93383188753934,-7.757486588732543,45.29528006622612
yellow,60.86201569337746,-8.128841182968694,46.918603661475814
yellow,87.46119501450244,-4.137331716987324,25.366746135341465
yellow,73.32554818385924,-4.414858504617703,26.1780726859
yellow,81.58815967316741,-40.16441040530005,74.77113616493679
yellow,84.68813867370979,-26.525617959504476,54.016704486606585
yellow,62.00624932940016,-27.448669791134417,54.46756198119872
yellow,85.14325910315216,-14.21013916848457,28.12496572268739
yellow,91.98734075071422,-18.42712496174444,42.526918245446
yellow,53.2978772499354,-1.551519136431498,37.8887771492217
yellow,80.45999274286014,10.48856724839307,50.62193852663619
yellow,81.20793063561617,-3.6411873226667884,43.8471581149445
yellow,87.55797963145632,-10.802362090264163,55.181520787096844
green,61.15615674934186,-15.365601531591,29.21887301295221
green,76.08447477740594,-67.12346698212995,60.113065272964526
green,79.94310447817794,-40.99510804673262,31.7425179836645
green,55.25278560527276,-44.146550477481725,31.951973187602988
green,38.86959593482472,-40.323651223184015,34.41013916429989
green,75.98034660688177,-22.073917087720496,16.591359078451816
green,55.877426924605004,-22.675337004655628,16.220858914598658
green,82.86810318748698,-61.39148940921463,20.832407999700674
green,75.55641756868062,-47.1271567682085,11.747132112224579
green,51.029649062686474,-39.52739389459644,10.758393377239429
green,65.78984336425648,-24.95405303344761,5.616780153710832
green,45.329113661569586,-27.010703568344425,5.108735472421211
green,89.1851156872776,-57.764500170212955,4.8438990994395414
green,78.35049942300309,-41.91684608879076,-7.287779682909257
green,53.319992763856675,-34.63622070641226,-2.1209921441177837
green,65.35504894422942,-23.49255007105816,-7.344145859534579
green,46.73649237488846,-23.49295117707595,-7.725763092613325
green,53.214734619445295,-19.425504374264722,13.807088315174347
green,46.59585476376045,-48.24903303756545,37.92254476788447
green,67.78310594425277,-41.174380168727,33.626095808031295
green,57.48292254002472,-20.235842963051695,15.059488920107391
green,89.87464062391824,-36.05494942150693,12.782505391608241
green,71.51675069258357,-16.643792835521722,20.72350636969603
green,73.31717140634188,-27.75351050897795,20.7841734060942
green,73.08450589346083,-48.091362749205175,12.842253049241881
blue,70.87864153342362,-23.812733178592225,-29.405908325737705
blue,51.84456503733247,-14.126902292101285,-30.380743032120172
blue,65.5221067727739,-13.947030499638636,-20.42511622114105
blue,46.300876492390984,-13.984254100083248,-21.42938207974987
blue,62.801015821652825,-1.0631966941123117,-48.001346190061334
blue,66.0285707401006,-1.230800777570762,-33.43205883677012
blue,42.91061146463666,0.5865214609966363,-34.39336461622211
blue,43.237361400881795,-1.4983467679079432,-15.207740357855881
blue,61.55049052145287,10.710848899230797,-30.815348057311898
blue,61.41783424819447,6.656707472280532,-19.732364945927785
blue,33.80773663020667,7.8618076003130195,-21.194423486946732
blue,66.87105687861933,-9.952736591994476,-43.78731813771459
blue,64.28245277617658,-14.32009666402599,-33.251159171294944
blue,50.50179367634191,-3.704284979525542,-27.80114758861253
blue,28.911474316983824,1.2169629573292933,-19.836900540954474
blue,41.13304727944291,7.773057699928175,-32.335854873787646
blue,58.91733864702998,-6.594342804868053,-20.74229746142025
blue,54.8333126199099,-2.57387931573703,-22.692691402334475
blue,54.88619399706516,0.8758412455145899,-30.5090054854222
blue,51.517336289980356,2.1520540104919825,-24.504746830255172
blue,54.20303982107159,-4.631738330048168,-33.676372446479654
blue,52.65915953268655,-3.355490980820117,-30.460354980028843
blue,66.21600258499605,-13.729553094263352,-27.762056438763477
blue,44.61988393012396,11.075660674845707,-17.223761666405224
blue,48.54212136564815,5.324489245855362,-18.917695202529103
violet,58.993700914478296,29.774798898120626,-44.25409505729236
violet,34.57468637527693,27.434828566367763,-38.360745011644305
violet,54.156683756808874,23.375556246017076,-30.64766383743795
violet,50.600316375365296,20.790116832922504,-26.90190783685763
violet,56.44005346037977,32.27605096456771,-43.820385757007976
violet,53.572951809006206,38.95261632623992,-48.40026483662723
violet,44.22708945063494,20.886529547835192,-30.79573036148954
violet,59.98181860096116,23.68467802111367,-29.003318275104924
violet,58.75793225709052,22.274981088097373,-31.345545897813686
violet,37.81044596355127,32.33818502556934,-41.18076974182126
violet,46.808009985510296,35.44058189717103,-43.957726070056005
violet,54.1689432068688,24.47926275469484,-34.107740113333456
violet,56.66304820605554,36.5747446848656,-45.56481177939291
violet,62.65744774018434,26.07878015243735,-38.63714033834205
violet,40.91805926562652,27.674257909988828,-37.73880506592396
violet,66.5540060417928,30.889547911940774,-40.267912266037676
violet,45.636789452149806,37.515164715914125,-44.266529551490734
violet,67.21763233224463,22.865838858045926,-31.969359248555868
violet,43.74776918049903,22.231098517871068,-31.73086422778538
violet,45.73417946663725,34.684006874021755,-45.03098618286143
violet,65.15467952849298,32.383133309133946,-42.07447053466931
violet,49.78405963062674,32.201159873092564,-37.5477788918702
violet,54.862917657521585,19.248309101664262,-31.990853695786324
violet,42.8118571488585,31.95941393964141,-38.98365996173445
violet,61.76203825441125,24.23600740490018,-32.38547239939443
purple,46.121734358841124,27.122701903605552,-24.161709300235444
purple,28.361087855050187,22.36897653972622,-20.04550184167003
purple,45.79873630853995,48.17547702326996,-23.13288046733717
purple,28.464006063041076,47.81686436540805,-24.690070928401873
purple,45.9641459708438,32.821224343600186,-15.87698750484079
purple,46.05682600899882,19.45846767805198,-9.906998741551698
purple,37.17806600566264,38.15812397503551,-19.967135884283135
purple,47.491566449824816,19.88646046012011,-14.518000437673955
purple,32.1632234045351,35.620852685925826,-22.09377800590706
purple,39.69658653324271,20.20877152407631,-9.58306889155998
purple,32.74712520819396,35.62811335290884,-28.979983027050665
purple,43.122511715949415,33.57845648047131,-28.843990690657726
purple,42.76130182160771,24.830390010746427,-23.76002233918099
purple,34.85414785967346,27.0785422115258,-26.06570047686833
purple,44.77671729180375,37.207277613366244,-14.742903530162188
purple,24.877159141933934,32.494557480684925,-19.97760537991295
purple,42.368356597143794,31.793526380407325,-28.078140590858098
purple,47.95376208402357,41.45677105794498,-26.606703818080085
purple,51.5456581924045,27.329546757604028,-17.715666719862444
purple,42.6979509651186,30.34758555791383,-21.530704456617862
purple,45.25051581116562,29.799158843282505,-18.465779175023567
purple,24.571711055587574,32.25316742343316,-19.637595056125054
purple,42.90440723573165,26.564788306930605,-15.97321055185671
purple,43.72560762363196,34.62977824045169,-24.197423665220292
purple,43.940476725625565,29.792358855786656,-14.997248798474192
white,89.72994429016923,7.522293058463303,-1.678841370393247
white,89.86649260478413,4.277235222510001,4.285127430173619
white,89.81149187988112,-0.12782957703538766,-1.6965353166508823
white,89.95607844808293,2.9584050607410206,-7.76888928516033
white,90.1694568676175,6.915236192220786,-6.3189884569532895
white,90.19384464902662,3.453712825705779,-3.1714414353838816
white,90.05340213893123,7.097096771706573,2.215362668112891
white,90.04216457232495,0.7849687189608083,-4.19250668863326
white,89.88931819522968,8.162524241394207,8.208094416289642
white,89.90190184436537,5.136958140116534,-0.2826960344306486
white,90.03206765202059,1.149618334384325,-1.6094405874842193
white,90.13534552507411,2.5729036568664823,0.8376654411189168
white,90.013735411279,3.9975041172030887,-4.394845714615115
white,89.75047726866363,6.377352829104213,-9.335286130749783
white,89.93479337675377,7.656093282617231,-1.5185708873231873
white,89.79739738610834,5.938315646849032,1.9795143098371373
