Number,ISCC-NBS Level 3 Name,R,G,B,hex
1,Vivid pink,253,121,146,#fd7992
2,Strong pink,244,143,160,#f48fa0
3,Deep pink,230,105,128,#e66980
4,Light pink,248,195,206,#f8c3ce
5,Moderate pink,226,163,174,#e2a3ae
6,Dark pink,197,128,138,#c5808a
7,Pale pink,239,209,220,#efd1dc
8,Grayish pink,203,173,183,#cbadb7
9,Pinkish white,239,221,229,#efdde5
10,Pinkish gray,199,182,189,#c7b6bd
11,Vivid red,213,28,60,#d51c3c
12,Strong red,191,52,75,#bf344b
13,Deep red,135,18,45,#87122d
14,Very deep red,92,6,37,#5c0625
15,Moderate red,177,73,85,#b14955
16,Dark red,116,36,52,#742434
17,Very dark red,72,17,39,#481127
18,Light grayish red,180,136,141,#b4888d
19,Grayish red,152,93,98,#985d62
20,Dark grayish red,83,56,62,#53383e
21,Blackish red,51,33,39,#332127
22,Reddish gray,146,129,134,#928186
23,Dark reddish gray,93,78,83,#5d4e53
24,Reddish black,48,38,43,#30262b
25,Vivid yellowish pink,253,126,93,#fd7e5d
26,Strong yellowish pink,245,144,128,#f59080
27,Deep yellowish pink,239,99,102,#ef6366
28,Light yellowish pink,248,196,182,#f8c4b6
29,Moderate yellowish pink,226,166,152,#e2a698
30,Dark yellowish pink,201,128,126,#c9807e
31,Pale yellowish pink,241,211,209,#f1d3d1
32,Grayish yellowish pink,203,172,172,#cbacac
33,Brownish pink,203,175,167,#cbafa7
34,Vivid reddish orange,232,59,27,#e83b1b
35,Strong reddish orange,219,93,59,#db5d3b
36,Deep reddish orange,175,51,24,#af3318
37,Moderate reddish orange,205,105,82,#cd6952
38,Dark reddish orange,162,64,43,#a2402b
39,Grayish reddish orange,185,117,101,#b97565
40,Strong reddish brown,139,28,14,#8b1c0e
41,Deep reddish brown,97,15,18,#610f12
42,Light reddish brown,172,122,115,#ac7a73
43,Moderate reddish brown,125,66,59,#7d423b
44,Dark reddish brown,70,29,30,#461d1e
45,Light grayish reddish brown,158,127,122,#9e7f7a
46,Grayish reddish brown,108,77,75,#6c4d4b
47,Dark grayish reddish brown,67,41,42,#43292a
48,Vivid orange,247,118,11,#f7760b
49,Brilliant orange,,,,
50,Strong orange,234,129,39,#ea8127
51,Deep orange,194,96,18,#c26012
52,Light orange,251,175,130,#fbaf82
53,Moderate orange,222,141,92,#de8d5c
54,Brownish orange,178,102,51,#b26633
55,Strong brown,138,68,22,#8a4416
56,Deep brown,87,26,7,#571a07
57,Light brown,173,124,99,#ad7c63
58,Moderate brown,114,74,56,#724a38
59,Dark brown,68,33,18,#442112
60,Light grayish brown,153,127,117,#997f75
61,Grayish brown,103,79,72,#674f48
62,Dark grayish brown,62,44,40,#3e2c28
63,Light brownish gray,146,130,129,#928281
64,Brownish gray,96,82,81,#605251
65,Brownish black,43,33,30,#2b211e
66,Vivid orange yellow,,,,
67,Brilliant orange yellow,255,190,80,#ffbe50
68,Strong orange yellow,240,161,33,#f0a121
69,Deep orange yellow,208,133,17,#d08511
70,Light orange yellow,252,194,124,#fcc27c
71,Moderate orange yellow,231,167,93,#e7a75d
72,Dark orange yellow,195,134,57,#c38639
73,Pale orange yellow,238,198,166,#eec6a6
74,Strong yellowish brown,158,103,29,#9e671d
75,Deep yellowish brown,103,63,11,#673f0b
76,Light yellowish brown,196,154,116,#c49a74
77,Moderate yellowish brown,136,102,72,#886648
78,Dark yellowish brown,80,52,26,#50341a
79,Light grayish yellowish brown,180,155,141,#b49b8d
80,Grayish yellowish brown,126,105,93,#7e695d
81,Dark grayish yellowish brown,77,61,51,#4d3d33
82,Vivid yellow,241,191,21,#f1bf15
83,Brilliant yellow,247,206,80,#f7ce50
84,Strong yellow,217,174,47,#d9ae2f
85,Deep yellow,184,143,22,#b88f16
86,Light yellow,244,210,132,#f4d284
87,Moderate yellow,210,175,99,#d2af63
88,Dark yellow,176,143,66,#b08f42
89,Pale yellow,239,215,178,#efd7b2
90,Grayish yellow,200,177,139,#c8b18b
91,Dark grayish yellow,169,144,102,#a99066
92,Yellowish white,238,223,218,#eedfda
93,Yellowish gray,198,185,177,#c6b9b1
94,Light olive brown,153,119,54,#997736
95,Moderate olive brown,112,84,32,#705420
96,Dark olive brown,63,44,16,#3f2c10
97,Vivid greenish yellow,235,221,33,#ebdd21
98,Brilliant greenish yellow,233,220,85,#e9dc55
99,Strong greenish yellow,196,184,39,#c4b827
100,Deep greenish yellow,162,152,18,#a29812
101,Light greenish yellow,233,221,138,#e9dd8a
102,Moderate greenish yellow,192,181,94,#c0b55e
103,Dark greenish yellow,158,149,60,#9e953c
104,Pale greenish yellow,230,220,171,#e6dcab
105,Grayish greenish yellow,190,181,132,#beb584
106,Light olive,139,125,46,#8b7d2e
107,Moderate olive,100,89,26,#64591a
108,Dark olive,53,46,10,#352e0a
109,Light grayish olive,142,133,111,#8e856f
110,Grayish olive,93,85,63,#5d553f
111,Dark grayish olive,53,48,28,#35301c
112,Light olive gray,143,135,127,#8f877f
113,Olive gray,88,81,74,#58514a
114,Olive black,35,33,28,#23211c
115,Vivid yellow green,167,220,38,#a7dc26
116,Brilliant yellow green,195,223,105,#c3df69
117,Strong yellow green,130,161,43,#82a12b
118,Deep yellow green,72,108,14,#486c0e
119,Light yellow green,206,219,159,#cedb9f
120,Moderate yellow green,139,154,95,#8b9a5f
121,Pale yellow green,215,215,193,#d7d7c1
122,Grayish yellow green,151,154,133,#979a85
123,Strong olive green,44,85,6,#2c5506
124,Deep olive green,,,,
125,Moderate olive green,73,91,34,#495b22
126,Dark olive green,32,52,11,#20340b
127,Grayish olive green,84,89,71,#545947
128,Dark grayish olive green,47,51,38,#2f3326
129,Vivid yellowish green,63,215,64,#3fd740
130,Brilliant yellowish green,135,217,137,#87d989
131,Strong yellowish green,57,150,74,#39964a
132,Deep yellowish green,23,106,30,#176a1e
133,Very deep yellowish green,5,66,8,#054208
134,Very light yellowish green,197,237,196,#c5edc4
135,Light yellowish green,156,198,156,#9cc69c
136,Moderate yellowish green,102,144,105,#669069
137,Dark yellowish green,47,93,58,#2f5d3a
138,Very dark yellowish green,16,54,26,#10361a
139,Vivid green,35,234,165,#23eaa5
140,Brilliant green,73,208,163,#49d0a3
141,Strong green,21,138,102,#158a66
142,Deep green,,,,
143,Very light green,166,226,202,#a6e2ca
144,Light green,111,172,149,#6fac95
145,Moderate green,51,119,98,#337762
146,Dark green,22,78,61,#164e3d
147,Very dark green,12,46,36,#0c2e24
148,Very pale green,199,217,214,#c7d9d6
149,Pale green,148,166,163,#94a6a3
150,Grayish green,97,113,110,#61716e
151,Dark grayish green,57,71,70,#394746
152,Blackish green,31,42,42,#1f2a2a
153,Greenish white,224,226,229,#e0e2e5
154,Light greenish gray,186,190,193,#babec1
155,Greenish gray,132,136,136,#848888
156,Dark greenish gray,84,88,88,#545858
157,Greenish black,33,38,38,#212626
158,Vivid bluish green,19,252,213,#13fcd5
159,Brilliant bluish green,53,215,206,#35d7ce
160,Strong bluish green,13,143,130,#0d8f82
161,Deep bluish green,,,,
162,Very light bluish green,152,225,224,#98e1e0
163,Light bluish green,95,171,171,#5fabab
164,Moderate bluish green,41,122,123,#297a7b
165,Dark bluish green,21,75,77,#154b4d
166,Very dark bluish green,10,45,46,#0a2d2e
167,Vivid greenish blue,,,,
168,Brilliant greenish blue,45,188,226,#2dbce2
169,Strong greenish blue,19,133,175,#1385af
170,Deep greenish blue,,,,
171,Very light greenish blue,148,214,239,#94d6ef
172,Light greenish blue,101,168,195,#65a8c3
173,Moderate greenish blue,42,118,145,#2a7691
174,Dark greenish blue,19,74,96,#134a60
175,Very dark greenish blue,11,44,59,#0b2c3b
176,Vivid blue,27,92,215,#1b5cd7
177,Brilliant blue,65,157,237,#419ded
178,Strong blue,39,108,189,#276cbd
179,Deep blue,17,48,116,#113074
180,Very light blue,153,198,249,#99c6f9
181,Light blue,115,164,220,#73a4dc
182,Moderate blue,52,104,158,#34689e
183,Dark blue,23,52,89,#173459
184,Very pale blue,194,210,236,#c2d2ec
185,Pale blue,145,162,187,#91a2bb
186,Grayish blue,84,104,127,#54687f
187,Dark grayish blue,50,63,78,#323f4e
188,Blackish blue,30,37,49,#1e2531
189,Bluish white,225,225,241,#e1e1f1
190,Light bluish gray,183,184,198,#b7b8c6
191,Bluish gray,131,135,147,#838793
192,Dark bluish gray,80,84,95,#50545f
193,Bluish black,36,39,46,#24272e
194,Vivid purplish blue,68,54,209,#4436d1
195,Brilliant purplish blue,128,136,226,#8088e2
196,Strong purplish blue,83,89,181,#5359b5
197,Deep purplish blue,42,40,111,#2a286f
198,Very light purplish blue,183,192,248,#b7c0f8
199,Light purplish blue,137,145,203,#8991cb
200,Moderate purplish blue,77,78,135,#4d4e87
201,Dark purplish blue,34,34,72,#222248
202,Very pale purplish blue,197,201,240,#c5c9f0
203,Pale purplish blue,142,146,183,#8e92b7
204,Grayish purplish blue,73,77,113,#494d71
205,Vivid violet,121,49,211,#7931d3
206,Brilliant violet,152,127,220,#987fdc
207,Strong violet,97,65,156,#61419c
208,Deep violet,60,22,104,#3c1668
209,Very light violet,201,186,248,#c9baf8
210,Light violet,155,140,202,#9b8cca
211,Moderate violet,92,73,133,#5c4985
212,Dark violet,52,37,77,#34254d
213,Very pale violet,208,198,239,#d0c6ef
214,Pale violet,154,144,181,#9a90b5
215,Grayish violet,88,78,114,#584e72
216,Vivid purple,185,53,213,#b935d5
217,Brilliant purple,206,140,227,#ce8ce3
218,Strong purple,147,82,168,#9352a8
219,Deep purple,101,34,119,#652277
220,Very deep purple,70,10,85,#460a55
221,Very light purple,228,185,243,#e4b9f3
222,Light purple,188,147,204,#bc93cc
223,Moderate purple,135,94,150,#875e96
224,Dark purple,86,55,98,#563762
225,Very dark purple,55,27,65,#371b41
226,Very pale purple,224,203,235,#e0cbeb
227,Pale purple,173,151,179,#ad97b3
228,Grayish purple,123,102,126,#7b667e
229,Dark grayish purple,81,63,81,#513f51
230,Blackish purple,47,34,49,#2f2231
231,Purplish white,235,223,239,#ebdfef
232,Light purplish gray,195,183,198,#c3b7c6
233,Purplish gray,143,132,144,#8f8490
234,Dark purplish gray,92,82,94,#5c525e
235,Purplish black,43,38,48,#2b2630
236,Vivid reddish purple,212,41,185,#d429b9
237,Strong reddish purple,167,73,148,#a74994
238,Deep reddish purple,118,26,106,#761a6a
239,Very deep reddish purple,79,9,74,#4f094a
240,Light reddish purple,189,128,174,#bd80ae
241,Moderate reddish purple,150,88,136,#965888
242,Dark reddish purple,95,52,88,#5f3458
243,Very dark reddish purple,63,24,60,#3f183c
244,Pale reddish purple,173,137,165,#ad89a5
245,Grayish reddish purple,134,98,126,#86627e
246,Brilliant purplish pink,252,161,231,#fca1e7
247,Strong purplish pink,244,131,205,#f483cd
248,Deep purplish pink,223,106,172,#df6aac
249,Light purplish pink,245,178,219,#f5b2db
250,Moderate purplish pink,222,152,191,#de98bf
251,Dark purplish pink,198,125,157,#c67d9d
252,Pale purplish pink,235,200,223,#ebc8df
253,Grayish purplish pink,199,163,185,#c7a3b9
254,Vivid purplish red,221,35,136,#dd2388
255,Strong purplish red,184,55,115,#b83773
256,Deep purplish red,136,16,85,#881055
257,Very deep purplish red,84,6,60,#54063c
258,Moderate purplish red,171,75,116,#ab4b74
259,Dark purplish red,110,41,76,#6e294c
260,Very dark purplish red,67,20,50,#431432
261,Light grayish purplish red,178,135,155,#b2879b
262,Grayish purplish red,148,92,115,#945c73
263,White,231,225,233,#e7e1e9
264,Light gray,189,183,191,#bdb7bf
265,Medium gray,138,132,137,#8a8489
266,Dark gray,88,84,88,#585458
267,Black,43,41,43,#2b292b
